timestamp_ns,time_s,state,gt_pos_x,gt_pos_y,stop_number
5343097000,2.801891,Stop,2.070000,0.700000,1.000000
5353275000,2.812069,Stop,2.070000,0.700000,1.000000
5374681000,2.833475,Stop,2.070000,0.700000,1.000000
5395418000,2.854212,Stop,2.070000,0.700000,1.000000
5423295000,2.882089,Stop,2.070000,0.700000,1.000000
5433387000,2.892181,Stop,2.070000,0.700000,1.000000
5465661000,2.924455,Stop,2.070000,0.700000,1.000000
5473235000,2.932029,Stop,2.070000,0.700000,1.000000
5503349000,2.962143,Stop,2.070000,0.700000,1.000000
5513411000,2.972205,Stop,2.070000,0.700000,1.000000
5545436000,3.004230,Stop,2.070000,0.700000,1.000000
5562771000,3.021565,Stop,2.070000,0.700000,1.000000
5579508000,3.038302,Stop,2.070000,0.700000,1.000000
5594142000,3.052936,Stop,2.070000,0.700000,1.000000
5622641000,3.081435,Stop,2.070000,0.700000,1.000000
5642524000,3.101318,Stop,2.070000,0.700000,1.000000
5653142000,3.111936,Stop,2.070000,0.700000,1.000000
5682426000,3.141220,Stop,2.070000,0.700000,1.000000
5702084000,3.160878,Stop,2.070000,0.700000,1.000000
5723198000,3.181992,Stop,2.070000,0.700000,1.000000
5741936000,3.200730,Stop,2.070000,0.700000,1.000000
5762223000,3.221017,Stop,2.070000,0.700000,1.000000
5781840000,3.240634,Stop,2.070000,0.700000,1.000000
5802284000,3.261078,Stop,2.070000,0.700000,1.000000
5825003000,3.283797,Stop,2.070000,0.700000,1.000000
5848414000,3.307208,Stop,2.070000,0.700000,1.000000
5862057000,3.320851,Stop,2.070000,0.700000,1.000000
5882363000,3.341157,Stop,2.070000,0.700000,1.000000
5902184000,3.360978,Stop,2.070000,0.700000,1.000000
5927361000,3.386155,Stop,2.070000,0.700000,1.000000
5941886000,3.400680,Stop,2.070000,0.700000,1.000000
5961756000,3.420550,Stop,2.070000,0.700000,1.000000
5981857000,3.440651,Stop,2.070000,0.700000,1.000000
6003261000,3.462055,Stop,2.070000,0.700000,1.000000
6026183000,3.484977,Stop,2.070000,0.700000,1.000000
6041071000,3.499865,Stop,2.070000,0.700000,1.000000
6061580000,3.520374,Stop,2.070000,0.700000,1.000000
6081828000,3.540622,Stop,2.070000,0.700000,1.000000
6107249000,3.566043,Stop,2.070000,0.700000,1.000000
6121354000,3.580148,Stop,2.070000,0.700000,1.000000
6141351000,3.600145,Stop,2.070000,0.700000,1.000000
6161541000,3.620335,Stop,2.070000,0.700000,1.000000
6185583000,3.644377,Stop,2.070000,0.700000,1.000000
6200675000,3.659469,Stop,2.070000,0.700000,1.000000
6221589000,3.680383,Stop,2.070000,0.700000,1.000000
6250839000,3.709633,Stop,2.070000,0.700000,1.000000
6270471000,3.729265,Stop,2.070000,0.700000,1.000000
6280384000,3.739178,Stop,2.070000,0.700000,1.000000
6300412000,3.759206,Stop,2.070000,0.700000,1.000000
6321403000,3.780197,Stop,2.070000,0.700000,1.000000
6347536000,3.806330,Stop,2.070000,0.700000,1.000000
6360857000,3.819651,Stop,2.070000,0.700000,1.000000
6380154000,3.838948,Stop,2.070000,0.700000,1.000000
6410157000,3.868951,Stop,2.070000,0.700000,1.000000
6426487000,3.885281,Stop,2.070000,0.700000,1.000000
6440695000,3.899489,Stop,2.070000,0.700000,1.000000
6459904000,3.918698,Stop,2.070000,0.700000,1.000000
6480335000,3.939129,Stop,2.070000,0.700000,1.000000
6501714000,3.960508,Stop,2.070000,0.700000,1.000000
6526193000,3.984987,Stop,2.070000,0.700000,1.000000
6540037000,3.998831,Stop,2.070000,0.700000,1.000000
6559967000,4.018761,Stop,2.070000,0.700000,1.000000
6581038000,4.039832,Stop,2.070000,0.700000,1.000000
6607801000,4.066595,Stop,2.070000,0.700000,1.000000
6619546000,4.078340,Stop,2.070000,0.700000,1.000000
6639887000,4.098681,Stop,2.070000,0.700000,1.000000
6661614000,4.120408,Stop,2.070000,0.700000,1.000000
6683633000,4.142427,Stop,2.070000,0.700000,1.000000
6700330000,4.159124,Stop,2.070000,0.700000,1.000000
6719174000,4.177968,Stop,2.070000,0.700000,1.000000
6740000000,4.198794,Stop,2.070000,0.700000,1.000000
6769443000,4.228237,Stop,2.070000,0.700000,1.000000
6779551000,4.238345,Stop,2.070000,0.700000,1.000000
6799488000,4.258282,Stop,2.070000,0.700000,1.000000
6819588000,4.278382,Stop,2.070000,0.700000,1.000000
6849275000,4.308069,Stop,2.070000,0.700000,1.000000
6859297000,4.318091,Stop,2.070000,0.700000,1.000000
6878675000,4.337469,Stop,2.070000,0.700000,1.000000
6898826000,4.357620,Stop,2.070000,0.700000,1.000000
6928779000,4.387573,Stop,2.070000,0.700000,1.000000
6945686000,4.404480,Stop,2.070000,0.700000,1.000000
6958004000,4.416798,Stop,2.070000,0.700000,1.000000
6978475000,4.437269,Stop,2.070000,0.700000,1.000000
6998176000,4.456970,Stop,2.070000,0.700000,1.000000
7018861000,4.477655,Stop,2.070000,0.700000,1.000000
7040013000,4.498807,Stop,2.070000,0.700000,1.000000
7065435000,4.524229,Stop,2.070000,0.700000,1.000000
7078665000,4.537459,Stop,2.070000,0.700000,1.000000
7097733000,4.556527,Stop,2.070000,0.700000,1.000000
7118859000,4.577653,Stop,2.070000,0.700000,1.000000
7142540000,4.601334,Stop,2.070000,0.700000,1.000000
7158016000,4.616810,Stop,2.070000,0.700000,1.000000
7177814000,4.636608,Stop,2.070000,0.700000,1.000000
7197868000,4.656662,Stop,2.070000,0.700000,1.000000
7217644000,4.676438,Stop,2.070000,0.700000,1.000000
7237968000,4.696762,Stop,2.070000,0.700000,1.000000
7257948000,4.716742,Stop,2.070000,0.700000,1.000000
7287919000,4.746713,Stop,2.070000,0.700000,1.000000
7304018000,4.762812,Stop,2.070000,0.700000,1.000000
7317433000,4.776227,Stop,2.070000,0.700000,1.000000
7347409000,4.806203,Stop,2.070000,0.700000,1.000000
7357498000,4.816292,Stop,2.070000,0.700000,1.000000
7377974000,4.836768,Stop,2.070000,0.700000,1.000000
7401667000,4.860461,Stop,2.070000,0.700000,1.000000
7417943000,4.876737,Stop,2.070000,0.700000,1.000000
7437087000,4.895881,Stop,2.070000,0.700000,1.000000
7457684000,4.916478,Stop,2.070000,0.700000,1.000000
7487209000,4.946003,Stop,2.070000,0.700000,1.000000
7497689000,4.956483,Stop,2.070000,0.700000,1.000000
7517049000,4.975843,Stop,2.070000,0.700000,1.000000
7536973000,4.995767,Stop,2.070000,0.700000,1.000000
7566616000,5.025410,Stop,2.070000,0.700000,1.000000
7576557000,5.035351,Stop,2.070000,0.700000,1.000000
7596669000,5.055463,Stop,2.070000,0.700000,1.000000
7626885000,5.085679,Stop,2.070000,0.700000,1.000000
7642218000,5.101012,Stop,2.070000,0.700000,1.000000
7656454000,5.115248,Stop,2.070000,0.700000,1.000000
7677184000,5.135978,Stop,2.070000,0.700000,1.000000
